,maoyanID,name,rating,box,box_day,box_week,release_date,IMAX,reg_美国,reg_中国大陆,reg_日本,reg_印度,reg_中国港澳台,week_want,online_days,weibo_topic,gen_爱情,gen_剧情,gen_奇幻,gen_传记,gen_家庭,gen_悬疑,gen_恐怖,gen_犯罪,gen_科幻,gen_灾难,gen_历史,gen_冒险,gen_动画,gen_运动,gen_动作,gen_古装,gen_战争,gen_喜剧,gen_音乐,gen_纪录片,gen_惊悚,spring,labor,summer,national
428,344961,逗鸟外传：萌宝满天飞,8.9,77616000.0,4893000.0,34806000.0,2016-09-23 00:00:00,True,True,False,False,False,False,5666.0,31.0,160000.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
431,342003,萨利机长,8.8,62150000.0,10957000.0,38001000.0,2016-12-09 00:00:00,True,True,False,False,False,False,9238.0,29.0,1190000.0,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
437,338443,机械师2：复活,8.7,338000000.0,51648000.0,166000000.0,2016-10-21 00:00:00,False,True,False,False,False,False,36244.0,32.0,3370000.0000000005,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
441,341120,七月与安生,8.7,166000000.0,10020000.0,72341000.0,2016-09-14 00:00:00,False,False,True,False,False,True,14098.0,38.0,13969999.999999998,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
442,345755,鲁滨逊漂流记,8.7,53576000.0,9538000.0,39989000.0,2016-10-04 00:00:00,False,False,False,False,False,False,11804.0,31.0,8459.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True
444,346759,勇士,8.7,33181000.0,8442000.0,20160000.0,2016-10-14 00:00:00,False,False,True,False,False,False,3105.0,31.0,5460000.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
450,246390,从你的全世界路过,8.6,813000000.0000001,74028000.0,311000000.0,2016-09-29 00:00:00,False,False,True,False,False,False,78860.0,57.0,141640000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
452,341289,寒战2,8.6,676000000.0,95697000.0,298000000.0,2016-07-08 00:00:00,True,False,True,False,False,True,37990.0,36.0,290000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
453,246373,佩小姐的奇幻城堡,8.6,118000000.0,19132000.0,69375000.0,2016-12-02 00:00:00,False,True,False,False,False,False,27664.0,30.0,380000.0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
454,246582,谁的青春不迷茫,8.6,179000000.0,31923000.0,99631000.0,2016-04-22 00:00:00,False,False,True,False,False,False,35837.0,34.0,5508.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
462,341883,少年师爷之大禹宝藏,8.6,1624000.0,187000.0,646000.0,2016-07-22 00:00:00,False,False,True,False,False,False,911.0,11.0,440000.00000000006,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False
463,627570,北极大冒险,8.6,2460000.0,395000.0,1413000.0,2016-12-30 00:00:00,False,False,False,False,False,False,1811.0,14.0,237.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
465,1132375,地球四季,8.6,4966000.0,292000.0,1681000.0,2016-09-27 00:00:00,False,False,False,False,False,False,1773.0,24.0,2740000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
469,246307,绝地逃亡,8.5,886999999.9999998,98227000.0,406000000.0,2016-07-21 00:00:00,True,True,True,False,False,True,51556.0,57.0,29690000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
473,343413,28岁未成年,8.5,129000000.0,20249000.0,72783000.0,2016-12-09 00:00:00,False,False,True,False,False,False,22619.0,27.0,13780000.000000002,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
477,248916,铁道飞虎,8.5,699000000.0,52764000.0,217000000.0,2016-12-23 00:00:00,False,False,True,False,False,False,14235.0,37.0,25930000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
478,341240,泰山归来：险战丛林,8.5,305000000.0,45555000.0,183000000.0,2016-07-19 00:00:00,True,True,False,False,False,False,26269.0,32.0,2040000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
