,maoyanID,name,rating,box,box_day,box_week,release_date,IMAX,reg_美国,reg_中国大陆,reg_日本,reg_印度,reg_中国港澳台,week_want,online_days,weibo_topic,gen_爱情,gen_剧情,gen_奇幻,gen_传记,gen_家庭,gen_悬疑,gen_恐怖,gen_犯罪,gen_科幻,gen_灾难,gen_历史,gen_冒险,gen_动画,gen_运动,gen_动作,gen_古装,gen_战争,gen_喜剧,gen_音乐,gen_纪录片,gen_惊悚,spring,labor,summer,national
917,368228,勇往直前,8.7,9038000.0,2481000.0,5742000.0,2017-12-08 00:00:00,False,True,False,False,False,False,8590.0,14.0,1470000.0,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
919,1208848,我的妈呀,8.7,360000.0,74000.0,172000.0,2017-10-13 00:00:00,False,False,False,False,False,True,775.0,7.0,180000.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
922,247731,神奇女侠,8.6,610000000.0,74017000.0,263000000.0,2017-06-02 00:00:00,True,True,True,False,False,True,42301.0,44.0,6959999.999999999,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
923,345672,记忆大师,8.6,292000000.0,45540000.0,157000000.0,2017-04-28 00:00:00,True,False,True,False,False,False,19165.0,30.0,45800000.0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
924,343012,嫌疑人x的献身,8.6,401000000.0,46479000.0,160000000.0,2017-03-31 00:00:00,False,False,True,False,False,False,26214.0,30.0,203950000.0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
925,655258,机器之血,8.6,305000000.0,76085000.0,198000000.0,2017-12-22 00:00:00,True,False,True,False,False,True,29450.0,29.0,26650000.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
926,247875,金刚狼3：殊死一战,8.6,730000000.0,103000000.0,341000000.0,2017-03-03 00:00:00,True,True,False,False,False,False,26388.0,43.0,530000.0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
927,1183351,哆啦A梦：大雄的南极冰冰凉大冒险,8.6,148000000.0,33896000.0,115000000.0,2017-05-30 00:00:00,False,False,False,True,False,False,28976.0,31.0,1270000.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
928,338436,爱乐之城,8.6,247000000.00000003,71364000.0,159000000.0,2017-02-14 00:00:00,True,True,False,False,False,False,17708.0,54.0,10890000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
929,343470,玩偶奇兵,8.6,31707000.0,3409000.0,11792000.0,2017-08-04 00:00:00,False,False,True,False,False,False,5143.0,34.0,1220000.0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
930,346641,相爱相亲,8.6,18265000.0,2321000.0,6825000.0,2017-11-03 00:00:00,False,False,True,False,False,True,7394.0,29.0,1230000.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
931,618704,七十七天,8.6,103000000.0,2676000.0,11317000.0,2017-11-03 00:00:00,False,False,True,False,False,False,8193.0,57.0,2160000.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
932,1181801,龙之战,8.6,65347000.0,3235000.0,10603000.0,2017-08-04 00:00:00,False,False,True,False,False,False,2928.0,48.0,1870000.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False
934,346477,萤火奇兵,8.6,7978000.0,3090000.0,3090000.0,2017-02-05 00:00:00,False,False,True,False,False,False,2610.0,26.0,260000.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
936,246065,生化危机：终章,8.5,1109000000.0,213000000.0,654000000.0,2017-02-24 00:00:00,False,True,False,False,False,False,53158.0,31.0,7700000.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
937,342176,杀破狼·贪狼,8.5,522000000.0,63198000.0,279000000.0,2017-08-17 00:00:00,False,False,True,False,False,True,50521.0,45.0,4170000.0000000005,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
941,341201,太空旅客,8.5,313000000.0,39148000.0,128000000.0,2017-01-13 00:00:00,False,True,False,False,False,False,12380.0,30.0,9780000.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
942,248771,昆塔：反转星球,8.5,50644000.0,7979000.0,7982000.0,2017-10-01 00:00:00,False,False,True,False,False,False,4454.0,35.0,4950000.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
943,1163084,原谅他77次,8.5,75448000.0,3217000.0,14879000.0,2017-06-23 00:00:00,False,False,True,False,False,True,16122.0,29.0,4810000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
944,246463,魔弦传说,8.5,43695000.0,7150000.0,22124000.0,2017-01-13 00:00:00,False,True,False,False,False,False,5588.0,16.0,12770000.0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
945,342183,乐高蝙蝠侠大电影,8.5,41994000.0,3915000.0,24554000.0,2017-03-03 00:00:00,True,True,False,False,False,False,4696.0,32.0,2550000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
946,1197753,大卫贝肯之倒霉特工熊,8.5,126000000.0,10622000.0,43105000.0,2017-01-13 00:00:00,False,False,True,False,False,False,5180.0,31.0,8910000.0,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
947,345786,银河守卫队,8.5,2571000.0,227000.0,1032000.0,2017-05-27 00:00:00,False,True,False,False,False,True,2374.0,12.0,330000.0,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
948,346662,超能龙骑侠,8.5,3072000.0,436000.0,1704000.0,2017-01-13 00:00:00,False,False,True,False,False,False,2064.0,19.0,5790000.0,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
954,345420,英伦对决,8.4,539000000.0,72645000.0,147000000.0,2017-09-30 00:00:00,True,False,True,False,False,False,24714.0,49.0,11600000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
955,248933,功夫瑜伽,8.4,1748000000.0,138000000.0,271000000.0,2017-01-28 00:00:00,False,False,True,False,True,False,34058.0,63.0,123620000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
956,346740,破·局,8.4,64647000.0,15561000.0,43906000.0,2017-08-17 00:00:00,False,False,True,False,False,False,15257.0,28.0,1660000.0000000002,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
957,346154,喵星人,8.4,44762000.0,10951000.0,31246000.0,2017-07-14 00:00:00,False,False,True,False,False,False,12930.0,21.0,2520000.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
958,1204795,二次初恋,8.4,26156000.0,3291000.0,12536000.0,2017-08-31 00:00:00,False,False,True,False,False,False,12103.0,23.0,3660000.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
960,344451,绑架者,8.4,95660000.0,16548000.0,44601000.0,2017-03-31 00:00:00,False,False,True,False,False,True,7978.0,29.0,23480000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
961,1142462,深夜食堂2,8.4,13875000.0,4320000.0,11421000.0,2017-07-18 00:00:00,False,False,False,True,False,False,12362.0,17.0,200000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
963,1203120,巨额来电,8.4,55851000.0,16211000.0,37672000.0,2017-12-08 00:00:00,False,False,True,False,False,True,7371.0,22.0,22770000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
966,335222,皮绳上的魂,8.4,3293000.0,996000.0,2201000.0,2017-08-18 00:00:00,False,False,True,False,False,False,1575.0,8.0,190000.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
967,1201660,血狼犬,8.4,25185000.0,3483000.0,12798000.0,2017-04-21 00:00:00,False,False,True,False,False,False,2079.0,21.0,2770000.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
968,605624,一念无明,8.4,9402000.0,878000.0,3827000.0,2017-04-07 00:00:00,False,False,False,False,False,True,3248.0,21.0,3579999.9999999995,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
972,1208672,初恋日记,8.4,2147000.0,273000.0,1445000.0,2017-09-15 00:00:00,False,False,False,False,False,True,952.0,13.0,320000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
973,1209085,十八洞村,8.4,107000000.0,12914000.0,34024000.0,2017-10-13 00:00:00,False,False,True,False,False,False,1214.0,32.0,250000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
975,249008,星际特工：千星之城,8.3,409000000.0,59931000.0,193000000.0,2017-08-25 00:00:00,True,False,False,False,False,False,32591.0,32.0,46180000.0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
976,249898,金刚：骷髅岛,8.3,1158000000.0,150000000.0,501000000.0,2017-03-24 00:00:00,True,True,True,False,False,False,25780.0,37.0,14180000.000000002,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
977,247373,临时演员,8.3,12944000.0,4211000.0,7079000.0,2017-05-27 00:00:00,False,False,True,False,False,False,5862.0,20.0,10330000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
978,349452,声之形,8.3,44539000.0,9510000.0,33096000.0,2017-09-08 00:00:00,False,False,False,True,False,False,27840.0,31.0,4200000.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
979,338486,荡寇风云,8.3,65116000.0,14972000.0,28647000.0,2017-05-27 00:00:00,False,True,True,True,False,True,9197.0,28.0,7340000.000000001,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
980,344682,大护法,8.3,87602000.0,7302000.0,33088000.0,2017-07-13 00:00:00,False,False,True,False,False,False,11298.0,30.0,2780000.0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
982,1209323,回到火星,8.3,9628000.0,3745000.0,7657000.0,2017-10-13 00:00:00,False,True,False,False,False,False,7121.0,29.0,390000.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
983,346460,冰雪大作战,8.3,43197000.0,2820000.0,11698000.0,2017-04-01 00:00:00,False,False,False,False,False,False,2757.0,23.0,212370000.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
984,1159320,小情书,8.3,2908000.0,460000.0,2250000.0,2017-05-19 00:00:00,False,False,True,False,False,False,4177.0,8.0,1920000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
985,248268,恐袭波士顿,8.3,21088000.0,3387000.0,13139000.0,2017-11-17 00:00:00,False,True,False,False,False,False,3907.0,22.0,1789999.9999999998,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
986,367889,玩命直播,8.3,12944000.0,1954000.0,7843000.0,2017-01-06 00:00:00,False,True,False,False,False,False,2079.0,22.0,3250000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
988,1204586,20:16,8.3,4906000.0,1224000.0,3185000.0,2017-05-18 00:00:00,False,False,True,False,False,False,413.0,10.0,1100000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
990,334620,蜘蛛侠：英雄归来,8.2,774000000.0,134000000.0,462000000.0,2017-09-08 00:00:00,True,True,False,False,False,False,53608.0,32.0,3590000.0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
992,342381,心理罪,8.2,304000000.0,63849000.0,163000000.0,2017-08-11 00:00:00,False,False,True,False,False,False,75858.0,40.0,817810000.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
993,247658,美女与野兽,8.2,590000000.0,83720000.0,310000000.0,2017-03-17 00:00:00,True,True,False,False,False,False,24980.0,31.0,9720000.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
994,344422,东方快车谋杀案,8.2,230000000.0,32885000.0,127000000.0,2017-11-10 00:00:00,False,True,False,False,False,False,34359.0,36.0,7504.0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
995,338328,密战,8.2,79543000.0,17348000.0,49634000.0,2017-11-03 00:00:00,False,False,True,False,False,False,19552.0,29.0,528000000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
996,1196171,引爆者,8.2,50266000.0,10988000.0,32286000.0,2017-11-24 00:00:00,False,False,True,False,False,False,7553.0,22.0,869999.9999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
997,1205886,那一场呼啸而过的青春,8.2,8821000.0,4787000.0,7334000.0,2017-10-05 00:00:00,False,False,True,False,False,False,6645.0,10.0,4106.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
998,358776,与君相恋100次,8.2,13465000.0,3816000.0,9122000.0,2017-07-06 00:00:00,False,False,False,True,False,False,9604.0,21.0,1980000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
999,345992,美好的意外,8.2,17624000.0,4326000.0,10844000.0,2017-06-02 00:00:00,False,False,True,False,False,False,6041.0,21.0,8030000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1001,344631,我是谁的宝贝,8.2,1302000.0,246000.0,622000.0,2017-08-18 00:00:00,False,False,True,False,False,False,5854.0,7.0,7649.0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1005,342598,敦刻尔克,8.1,339000000.0,57536000.0,198000000.0,2017-09-01 00:00:00,True,True,False,False,False,False,30132.0,31.0,5070000.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1006,1183619,侠盗联盟,8.1,237000000.0,54450000.0,149000000.0,2017-08-11 00:00:00,True,False,True,False,False,True,39044.0,30.0,8140000.000000001,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
1007,567982,反转人生,8.1,69513000.0,8155000.0,46784000.0,2017-06-29 00:00:00,False,False,True,False,False,False,12117.0,23.0,780000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1008,1170252,有完没完,8.1,37399000.0,8054000.0,14977000.0,2017-04-01 00:00:00,False,False,True,False,False,False,5379.0,23.0,8640000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1010,672281,这就是命,8.1,54466000.0,8748000.0,29120000.0,2017-12-01 00:00:00,False,False,True,False,False,False,7882.0,21.0,1080000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1013,1197583,坑爹游戏,8.1,1793000.0,735000.0,1302000.0,2017-10-20 00:00:00,False,False,True,False,False,False,1940.0,14.0,3058.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1014,346116,29+1,8.1,1567000.0,359000.0,954000.0,2017-06-02 00:00:00,False,False,False,False,False,True,2881.0,7.0,1170000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1016,1204052,怪物岛,8.1,4846000.0,1971000.0,3702000.0,2017-09-09 00:00:00,False,False,False,False,False,False,2772.0,24.0,1080000.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
1022,342193,天生不对,8.0,24305000.0,4441000.0,14747000.0,2017-11-10 00:00:00,False,False,True,False,False,False,7149.0,29.0,1789999.9999999998,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1023,1196180,父子雄兵,8.0,125000000.0,26453000.0,78022000.0,2017-07-21 00:00:00,False,False,True,False,False,False,14259.0,24.0,6950000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1024,338409,亚瑟王：斗兽争霸,8.0,57062000.0,11774000.0,36860000.0,2017-05-12 00:00:00,False,True,False,False,False,False,9625.0,25.0,3630000.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
1026,344880,天才捕手,8.0,14729000.0,3495000.0,9483000.0,2017-03-10 00:00:00,False,True,False,False,False,False,3793.0,22.0,1130000.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1027,343744,秘果,8.0,7955000.0,2776000.0,5712000.0,2017-07-07 00:00:00,False,False,True,False,False,False,6289.0,13.0,6270000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1028,1204581,豆福传,8.0,15906000.0,4235000.0,12293000.0,2017-07-28 00:00:00,False,False,True,False,False,False,5641.0,21.0,920000.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
1030,247448,少年巴比伦,8.0,3136000.0,845000.0,1893000.0,2017-01-13 00:00:00,False,False,True,False,False,False,1019.0,15.0,1870000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1031,246230,天空之眼,8.0,17333000.0,2764000.0,8881000.0,2017-01-13 00:00:00,False,False,False,False,False,False,3876.0,16.0,2260000.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1032,1212450,小猫巴克里,8.0,12241000.0,3499000.0,6509000.0,2017-12-30 00:00:00,False,False,False,False,False,True,5016.0,22.0,5443.0,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1035,1142976,此情此刻,8.0,373000.0,87000.0,221000.0,2017-06-09 00:00:00,False,False,False,False,False,True,1970.0,7.0,4874.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1036,1207785,S的秘密,8.0,4577000.0,1307000.0,3680000.0,2017-07-20 00:00:00,False,False,True,False,False,False,883.0,8.0,420000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1039,1144681,银魂 真人版,7.9,81430000.0,22531000.0,60992000.0,2017-09-01 00:00:00,False,False,False,True,False,False,31525.0,30.0,5490000.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1040,245938,鲛珠传,7.9,113000000.0,36766000.0,83515000.0,2017-08-11 00:00:00,True,False,True,False,False,True,30996.0,30.0,34040000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1042,344500,狂兽,7.9,67813000.0,17178000.0,45741000.0,2017-11-10 00:00:00,False,False,True,False,False,True,12070.0,28.0,7484.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1044,344809,美容针,7.9,10086000.0,3499000.0,7446000.0,2017-05-20 00:00:00,False,False,True,False,False,False,3148.0,13.0,5320000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1045,342869,青春逗,7.9,3700000.0,141000.0,305000.0,2017-10-20 00:00:00,False,False,True,False,False,False,1466.0,7.0,900000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1046,1198459,假如王子睡着了,7.9,5469000.0,1896000.0,4199000.0,2017-12-08 00:00:00,False,False,True,False,False,False,4581.0,14.0,5480000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1047,343639,缉枪,7.9,16453000.0,2106000.0,5127000.0,2017-06-23 00:00:00,False,False,True,False,False,False,3595.0,20.0,4180000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1048,337058,不期而遇,7.9,7135000.0,1475000.0,5387000.0,2017-05-19 00:00:00,False,True,True,False,False,False,2058.0,12.0,5000000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1049,1211239,夺金四贱客,7.9,3539000.0,755000.0,2325000.0,2017-12-01 00:00:00,False,False,False,False,False,False,2443.0,14.0,600000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1050,1200796,谁是球王,7.9,992000.0,515000.0,690000.0,2017-08-03 00:00:00,False,False,True,False,False,False,1617.0,8.0,760000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1051,346038,点五步,7.9,3737000.0,577000.0,1799000.0,2017-04-07 00:00:00,False,False,False,False,False,True,447.0,10.0,810000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1054,246969,攻壳机动队,7.8,202000000.0,49656000.0,148000000.0,2017-04-07 00:00:00,True,True,False,False,False,False,20980.0,29.0,10090000.0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1055,346321,会痛的十七岁,7.8,7655000.0,2755000.0,6145000.0,2017-09-15 00:00:00,False,False,True,False,False,False,6296.0,15.0,3310000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1056,346106,决战食神,7.8,121000000.0,33481000.0,85750000.0,2017-02-10 00:00:00,False,False,True,False,False,True,7901.0,30.0,24490000.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1057,672202,青禾男高,7.8,30409000.0,6809000.0,24984000.0,2017-07-12 00:00:00,False,False,True,False,False,True,8628.0,18.0,29380000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1058,346167,黑白迷宫,7.8,33170000.0,7426000.0,23115000.0,2017-09-01 00:00:00,False,False,True,False,False,True,9963.0,29.0,220000.00000000003,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1059,338387,降临,7.8,108000000.0,19571000.0,54527000.0,2017-01-20 00:00:00,False,True,False,False,False,False,8254.0,26.0,6482.0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1060,1170247,你在哪,7.8,2312000.0,649000.0,1835000.0,2017-11-30 00:00:00,False,False,True,False,False,False,1122.0,15.0,860000.0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1061,1208644,金珠玛米,7.8,1930000.0,910000.0,1434000.0,2017-12-12 00:00:00,False,False,True,False,False,False,4077.0,10.0,420000.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1067,248904,西游伏妖篇,7.7,1652000000.0,354000000.0,588000000.0,2017-01-28 00:00:00,True,False,True,False,False,True,64136.0,55.0,56450000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
1068,341894,极盗车神,7.7,108000000.0,24960000.0,64833000.0,2017-08-25 00:00:00,False,True,False,False,False,False,26092.0,29.0,460000.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1069,248075,追捕,7.7,106000000.0,29636000.0,74052000.0,2017-11-24 00:00:00,False,False,True,True,False,False,16143.0,29.0,8490000.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1070,345193,夏天19岁的肖像,7.7,9369000.0,3176000.0,5381000.0,2017-05-27 00:00:00,False,False,True,False,False,False,7118.0,20.0,28420000.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1071,345719,异星觉醒,7.7,135000000.0,25146000.0,91024000.0,2017-05-19 00:00:00,False,True,False,False,False,False,14107.0,29.0,1960000.0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1072,346383,最终幻想15：王者之剑,7.7,28725000.0,7645000.0,20995000.0,2017-03-10 00:00:00,False,True,False,True,False,False,5139.0,23.0,120000.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1073,1181776,李雷和韩梅梅——昨日重现,7.7,40721000.0,11876000.0,31065000.0,2017-06-09 00:00:00,False,False,True,False,False,False,10493.0,22.0,670000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1074,336923,上海王,7.7,13611000.0,2974000.0,8060000.0,2017-02-17 00:00:00,False,False,True,False,False,False,1682.0,21.0,3529999.9999999995,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1076,1200634,女人永远是对的,7.7,1838000.0,747000.0,1319000.0,2017-06-16 00:00:00,False,False,False,False,False,True,3738.0,9.0,2760000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1077,668587,冒牌监护人之寻宝闹翻天,7.7,2001000.0,468000.0,1277000.0,2017-12-01 00:00:00,False,False,True,False,False,False,1387.0,14.0,100000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1078,672178,八月,7.7,4363000.0,724000.0,2287000.0,2017-03-24 00:00:00,False,False,True,False,False,False,1705.0,18.0,1020000.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1079,1204794,胡杨的夏天,7.7,4674000.0,1094000.0,3102000.0,2017-10-20 00:00:00,False,False,True,False,False,False,1040.0,14.0,3110000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1080,1207099,老兽,7.7,2076000.0,495000.0,1757000.0,2017-12-11 00:00:00,False,False,True,False,False,False,907.0,11.0,5845.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
