,maoyanID,name,release_date,region,rating,box,box_day,box_week,week_want,special_date,IMAX,gen_爱情,gen_动画,gen_科幻,gen_惊悚,gen_犯罪,gen_悬疑,gen_家庭,gen_纪录片,gen_喜剧,gen_动作,gen_奇幻,gen_冒险,gen_剧情,gen_恐怖,region_中国大陆,region_中国港澳台,region_美国,region_日本,region_印度,region_其他,director_famous,actor_famous,IP_rewrite
17,569712,黑子的篮球·终极一战,2018/8/24,"日本
",9.1,6790000,1999000,4513000,24750,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,1,1
18,1203528,摩天营救,2018/7/20,"美国
",9.1,669000000,90672000,329000000,60664,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,0,0,0,0,1,0
19,1211482,熊出没·变形记,2018/2/16,"中国大陆
",9.1,605000000,76128000,208000000,37753,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,1
20,1196151,李宗伟：败者为王,2018/9/7,"马来西亚
",9.1,6622000,1967000,5095000,6541,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,1,0,0,1
21,1196131,神探狗笨吉,2018/12/28,"美国
",9.1,3951000,823000,1902000,4140,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,1
23,454617,追鹰日记,2018/10/26,奥地利 ,9.1,1751000,397000,1123000,1274,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,1,0,1,0
25,248170,复仇者联盟3：无限战争,2018/5/11,"美国
",9,2390000000,387000000,1272000000,241462,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,0,0,0,0,1,1
26,344990,唐人街探案2,2018/2/16,"中国大陆
",9,3397000000,340000000,990000000,72782,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,1,1
27,341737,碟中谍6：全面瓦解,2018/8/31,"美国
",9,1245000000,168000000,530000000,63378,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,1,0,0,0,0,1,1
28,1217513,风语咒,2018/8/3,"中国大陆
",9,112000000,19434000,61921000,34955,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,1
29,341178,头号玩家,2018/3/30,"美国
",9,1396000000,85690000,390000000,54238,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,1,0,0,0,1,0,1
30,1217236,悲伤逆流成河,2018/9/21,"中国大陆
",9,356000000,12774000,78345000,23583,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,1
31,1229214,爸，我一定行的,2018/8/24,"中国大陆
",9,47066000,4314000,18820000,23967,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,0
32,1200265,叶问外传：张天志,2018/12/21,"中国大陆,中国香港
",9,131000000,10002000,42041000,15421,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,0,0,0,0,0,0,1
33,881837,起跑线,2018/4/4,"印度
",9,210000000,21273000,134000000,18667,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,1,0,0,0,0
34,1208282,无名之辈,2018/11/16,"中国大陆
",9,794000000,9195000,67066000,9832,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
35,1141500,最后的棒棒,2018/8/17,中国大陆,9,1009000,161000,461000,7637,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,0
36,667783,爱在记忆消逝前,2018/2/23,"意大利,法国
",9,6557000,1132000,2974000,7553,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,1,0,0,1
37,1212979,小狗奶瓶,2018/2/2,"中国大陆
",9,1651000,298000,684000,1631,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
38,1216446,快把我哥带走,2018/8/17,"中国大陆
",8.9,375000000,49680000,122000000,71446,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,0,1
39,341624,狂暴巨兽,2018/4/13,"美国
",8.9,1003000000,94592000,350000000,59910,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,1,0,0,0,0,1,1
40,342166,无双,2018/9/30,"中国大陆,中国香港
",8.9,1273000000,54819000,54823000,18477,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,0,0,0,0,0,1,0
